City,Restaurant Count,Percentage (%)
New Delhi,5473,57.3
Gurgaon,1118,11.71
Noida,1080,11.31
Faridabad,251,2.63
Ghaziabad,25,0.26
Ahmedabad,21,0.22
Amritsar,21,0.22
Bhubaneshwar,21,0.22
Guwahati,21,0.22
Lucknow,21,0.22
Bras�_lia,20,0.21
Rio de Janeiro,20,0.21
S��o Paulo,20,0.21
Albany,20,0.21
Athens,20,0.21
Augusta,20,0.21
Boise,20,0.21
Cedar Rapids/Iowa City,20,0.21
Columbus,20,0.21
Dalton,20,0.21
Davenport,20,0.21
Des Moines,20,0.21
Dubuque,20,0.21
Gainesville,20,0.21
Macon,20,0.21
Orlando,20,0.21
Pensacola,20,0.21
Pocatello,20,0.21
Rest of Hawaii,20,0.21
Savannah,20,0.21
Singapore,20,0.21
Sioux City,20,0.21
Tampa Bay,20,0.21
Valdosta,20,0.21
Waterloo,20,0.21
Abu Dhabi,20,0.21
Dubai,20,0.21
Sharjah,20,0.21
Agra,20,0.21
Allahabad,20,0.21
Aurangabad,20,0.21
Bangalore,20,0.21
Bhopal,20,0.21
Chennai,20,0.21
Coimbatore,20,0.21
Dehradun,20,0.21
Goa,20,0.21
Indore,20,0.21
Jaipur,20,0.21
Kanpur,20,0.21
Kochi,20,0.21
Kolkata,20,0.21
Ludhiana,20,0.21
Mangalore,20,0.21
Mumbai,20,0.21
Mysore,20,0.21
Nagpur,20,0.21
Nashik,20,0.21
Patna,20,0.21
Puducherry,20,0.21
Pune,20,0.21
Ranchi,20,0.21
Surat,20,0.21
Vadodara,20,0.21
Varanasi,20,0.21
Vizag,20,0.21
Auckland,20,0.21
Wellington City,20,0.21
Birmingham,20,0.21
Edinburgh,20,0.21
London,20,0.21
Manchester,20,0.21
Doha,20,0.21
Cape Town,20,0.21
Pretoria,20,0.21
Colombo,20,0.21
Ankara,20,0.21
Chandigarh,18,0.19
Hyderabad,18,0.19
Jakarta,16,0.17
��stanbul,14,0.15
Sandton,11,0.12
Johannesburg,6,0.06
Mandaluyong City,4,0.04
Taguig City,4,0.04
Pasay City,3,0.03
Pasig City,3,0.03
Makati City,2,0.02
San Juan City,2,0.02
Santa Rosa,2,0.02
Hepburn Springs,2,0.02
Secunderabad,2,0.02
Bogor,2,0.02
Tangerang,2,0.02
Inner City,2,0.02
Quezon City,1,0.01
Tagaytay City,1,0.01
Armidale,1,0.01
Balingup,1,0.01
Beechworth,1,0.01
Chatham-Kent,1,0.01
Clatskanie,1,0.01
Cochrane,1,0.01
Consort,1,0.01
Dicky Beach,1,0.01
East Ballina,1,0.01
Fernley,1,0.01
Flaxton,1,0.01
Forrest,1,0.01
Huskisson,1,0.01
Inverloch,1,0.01
Lakes Entrance,1,0.01
Lakeview,1,0.01
Lincoln,1,0.01
Lorn,1,0.01
Macedon,1,0.01
Mayfield,1,0.01
Mc Millan,1,0.01
Middleton Beach,1,0.01
Miller,1,0.01
Monroe,1,0.01
Montville,1,0.01
Ojo Caliente,1,0.01
Palm Cove,1,0.01
Paynesville,1,0.01
Penola,1,0.01
Phillip Island,1,0.01
Potrero,1,0.01
Princeton,1,0.01
Tanunda,1,0.01
Trentham East,1,0.01
Vernonia,1,0.01
Victor Harbor,1,0.01
Vineland Station,1,0.01
Weirton,1,0.01
Winchester Bay,1,0.01
Yorkton,1,0.01
Mohali,1,0.01
Panchkula,1,0.01
Bandung,1,0.01
Randburg,1,0.01
