Cuisine,Restaurant Count,Share of Total Mentions (%)
North Indian,3960,20.08
Chinese,2735,13.87
Fast Food,1986,10.07
Mughlai,995,5.05
Italian,764,3.87
Bakery,745,3.78
Continental,736,3.73
Cafe,703,3.57
Desserts,653,3.31
South Indian,636,3.23
Street Food,562,2.85
American,390,1.98
Pizza,381,1.93
Mithai,380,1.93
Burger,251,1.27
Thai,234,1.19
Asian,233,1.18
Beverages,229,1.16
Ice Cream,226,1.15
Mexican,181,0.92
Biryani,177,0.9
Seafood,174,0.88
Healthy Food,150,0.76
European,148,0.75
Japanese,135,0.68
Finger Food,114,0.58
Raw Meats,114,0.58
Mediterranean,112,0.57
Salad,93,0.47
Sushi,75,0.38
Indian,70,0.35
Lebanese,69,0.35
Steak,62,0.31
Sandwich,53,0.27
Tea,48,0.24
Tibetan,44,0.22
Breakfast,41,0.21
Bar Food,39,0.2
BBQ,33,0.17
French,29,0.15
Juices,29,0.15
Bengali,29,0.15
Brazilian,28,0.14
Arabian,28,0.14
Hyderabadi,26,0.13
Southern,24,0.12
Vegetarian,23,0.12
Kerala,23,0.12
Middle Eastern,22,0.11
Malaysian,22,0.11
Korean,21,0.11
Grill,21,0.11
International,21,0.11
Vietnamese,21,0.11
Rajasthani,21,0.11
Goan,20,0.1
Kashmiri,20,0.1
Coffee and Tea,19,0.1
Tapas,19,0.1
Tex-Mex,19,0.1
Spanish,16,0.08
British,16,0.08
Modern Indian,16,0.08
Greek,15,0.08
Turkish,15,0.08
Indonesian,14,0.07
Afghani,14,0.07
Lucknowi,13,0.07
Pakistani,12,0.06
Latin American,11,0.06
Modern Australian,11,0.06
Gujarati,11,0.06
Chettinad,11,0.06
Awadhi,11,0.06
Filipino,10,0.05
German,10,0.05
Cajun,10,0.05
Western,10,0.05
Maharashtrian,10,0.05
Burmese,10,0.05
Andhra,10,0.05
Kebab,10,0.05
North Eastern,9,0.05
Nepalese,9,0.05
Contemporary,9,0.05
Hawaiian,8,0.04
African,8,0.04
Parsi,8,0.04
Naga,8,0.04
Turkish Pizza,8,0.04
Southwestern,7,0.04
Caribbean,7,0.04
Portuguese,7,0.04
Diner,6,0.03
Bihari,6,0.03
Kiwi,6,0.03
Curry,6,0.03
South African,6,0.03
Australian,5,0.03
Moroccan,5,0.03
Sri Lankan,5,0.03
Fusion,4,0.02
Singaporean,4,0.02
Charcoal Grill,4,0.02
Assamese,4,0.02
Mangalorean,4,0.02
Patisserie,4,0.02
World Cuisine,4,0.02
Restaurant Cafe,4,0.02
Dim Sum,3,0.02
Deli,3,0.02
Armenian,3,0.02
Iranian,3,0.02
Sunda,3,0.02
Scottish,3,0.02
Argentine,2,0.01
Teriyaki,2,0.01
Cuban,2,0.01
New American,2,0.01
Pub Food,2,0.01
Persian,2,0.01
Cantonese,2,0.01
Belgian,2,0.01
South American,2,0.01
Drinks Only,2,0.01
Oriya,2,0.01
Ramen,2,0.01
Asian Fusion,2,0.01
Taiwanese,2,0.01
Izgara,2,0.01
Peruvian,1,0.01
Gourmet Fast Food,1,0.01
Mineira,1,0.01
Canadian,1,0.01
Bubble Tea,1,0.01
Irish,1,0.01
Soul Food,1,0.01
Malay,1,0.01
Malwani,1,0.01
Cuisine Varies,1,0.01
Peranakan,1,0.01
Fish and Chips,1,0.01
Durban,1,0.01
D�_ner,1,0.01
B�_rek,1,0.01
